#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value
endothelial cell development,Gene Ontology,GO:0001885,1,33,0.132753206,0.330932061
positive regulation of receptor-mediated endocytosis,Gene Ontology,GO:0048260,1,33,0.132753206,0.330932061
response to progesterone,Gene Ontology,GO:0032570,1,33,0.132753206,0.330932061
syncytium formation,Gene Ontology,GO:0006949,1,33,0.132753206,0.330932061
regulation of cytokine production,Gene Ontology,GO:0001817,4,462,0.133211551,0.331671966
ERK1 and ERK2 cascade,Gene Ontology,GO:0070371,2,150,0.133431251,0.331671966
cardiac muscle tissue development,Gene Ontology,GO:0048738,2,150,0.133431251,0.331671966
organ morphogenesis,Gene Ontology,GO:0009887,6,816,0.133605452,0.331788991
sensory organ development,Gene Ontology,GO:0007423,4,463,0.13394727,0.332127489
negative regulation of cell migration,Gene Ontology,GO:0030336,2,151,0.134842356,0.332959838
cellular response to extracellular stimulus,Gene Ontology,GO:0031668,2,151,0.134842356,0.332959838
mesenchymal cell differentiation,Gene Ontology,GO:0048762,2,151,0.134842356,0.332959838
protein self-association,Gene Ontology,GO:0043621,1,34,0.136378688,0.334537948
regulation of neurotransmitter secretion,Gene Ontology,GO:0046928,1,34,0.136378688,0.334537948
positive regulation of neural precursor cell proliferation,Gene Ontology,GO:2000179,1,34,0.136378688,0.334537948
activation of JUN kinase activity,Gene Ontology,GO:0007257,1,34,0.136378688,0.334537948
centrosome duplication,Gene Ontology,GO:0051298,1,34,0.136378688,0.334537948
morphogenesis of an epithelial sheet,Gene Ontology,GO:0002011,1,34,0.136378688,0.334537948
regulation of body fluid levels,Gene Ontology,GO:0050878,5,643,0.137972108,0.337179028
peptidyl-serine phosphorylation,Gene Ontology,GO:0018105,2,154,0.139095544,0.33960652
cerebral cortex cell migration,Gene Ontology,GO:0021795,1,35,0.139989017,0.340275446
frizzled binding,Gene Ontology,GO:0005109,1,35,0.139989017,0.340275446
COP9 signalosome,Gene Ontology,GO:0008180,1,35,0.139989017,0.340275446
negative regulation of cell motility,Gene Ontology,GO:2000146,2,155,0.140519723,0.340851746
regulation of organ morphogenesis,Gene Ontology,GO:2000027,2,156,0.141947042,0.342540493
dendritic spine development,Gene Ontology,GO:0060996,1,36,0.143584254,0.342540493
photoreceptor cell development,Gene Ontology,GO:0042461,1,36,0.143584254,0.342540493
positive regulation of mitotic cell cycle,Gene Ontology,GO:0045931,1,36,0.143584254,0.342540493
mediator complex,Gene Ontology,GO:0016592,1,36,0.143584254,0.342540493
chromatin DNA binding,Gene Ontology,GO:0031490,1,36,0.143584254,0.342540493
activated T cell proliferation,Gene Ontology,GO:0050798,1,36,0.143584254,0.342540493
trabecula morphogenesis,Gene Ontology,GO:0061383,1,36,0.143584254,0.342540493
regulation of pathway-restricted SMAD protein phosphorylation,Gene Ontology,GO:0060393,1,36,0.143584254,0.342540493
regulation of transcription from RNA polymerase II promoter in response to stress,Gene Ontology,GO:0043618,1,36,0.143584254,0.342540493
regulation of interleukin-1 beta production,Gene Ontology,GO:0032651,1,36,0.143584254,0.342540493
regulation of Rac protein signal transduction,Gene Ontology,GO:0035020,1,36,0.143584254,0.342540493
positive regulation of tumor necrosis factor production,Gene Ontology,GO:0032760,1,36,0.143584254,0.342540493
negative regulation of endopeptidase activity,Gene Ontology,GO:0010951,2,158,0.14481089,0.343820554
epidermal cell differentiation,Gene Ontology,GO:0009913,2,158,0.14481089,0.343820554
regulation of stress-activated MAPK cascade,Gene Ontology,GO:0032872,2,158,0.14481089,0.343820554
regulation of protein kinase activity,Gene Ontology,GO:0045859,5,654,0.144924817,0.343820554
regulation of stress-activated protein kinase signaling cascade,Gene Ontology,GO:0070302,2,159,0.146247319,0.345434845
positive regulation of interferon-gamma production,Gene Ontology,GO:0032729,1,37,0.147164464,0.346347387
protein kinase C-activating G-protein coupled receptor signaling pathway,Gene Ontology,GO:0007205,1,37,0.147164464,0.346347387
positive regulation of mesenchymal cell proliferation,Gene Ontology,GO:0002053,1,37,0.147164464,0.346347387
receptor tyrosine kinase binding,Gene Ontology,GO:0030971,1,37,0.147164464,0.346347387
regulation of signaling,Gene Ontology,GO:0023051,14,2418,0.147368418,0.346514928
negative regulation of cellular component movement,Gene Ontology,GO:0051271,2,160,0.147686685,0.346638712
negative regulation of peptidase activity,Gene Ontology,GO:0010466,2,161,0.149128938,0.349395447
regulation of cell communication,Gene Ontology,GO:0010646,14,2425,0.149617287,0.349569737
regulation of lymphocyte proliferation,Gene Ontology,GO:0050670,2,162,0.150574028,0.349692927
regulation of synapse assembly,Gene Ontology,GO:0051963,1,38,0.15072971,0.349692927
mammary gland duct morphogenesis,Gene Ontology,GO:0060603,1,38,0.15072971,0.349692927
regulation of bone remodeling,Gene Ontology,GO:0046850,1,38,0.15072971,0.349692927
negative regulation of epithelial cell migration,Gene Ontology,GO:0010633,1,38,0.15072971,0.349692927
T-helper 1 type immune response,Gene Ontology,GO:0042088,1,38,0.15072971,0.349692927
tissue regeneration,Gene Ontology,GO:0042246,1,38,0.15072971,0.349692927
regulation of mononuclear cell proliferation,Gene Ontology,GO:0032944,2,163,0.152021907,0.350819786
regulation of behavior,Gene Ontology,GO:0050795,2,163,0.152021907,0.350819786
negative regulation of response to external stimulus,Gene Ontology,GO:0032102,2,164,0.153472526,0.351985086
termination of G-protein coupled receptor signaling pathway,Gene Ontology,GO:0038032,1,39,0.154280053,0.351985086
tumor necrosis factor-mediated signaling pathway,Gene Ontology,GO:0033209,1,39,0.154280053,0.351985086
negative regulation of blood pressure,Gene Ontology,GO:0045776,1,39,0.154280053,0.351985086
negative regulation of cell-substrate adhesion,Gene Ontology,GO:0010812,1,39,0.154280053,0.351985086
negative regulation of behavior,Gene Ontology,GO:0048521,1,39,0.154280053,0.351985086
cell cycle DNA replication,Gene Ontology,GO:0044786,1,39,0.154280053,0.351985086
embryonic cranial skeleton morphogenesis,Gene Ontology,GO:0048701,1,39,0.154280053,0.351985086
protein complex localization,Gene Ontology,GO:0031503,1,39,0.154280053,0.351985086
regulation of chondrocyte differentiation,Gene Ontology,GO:0032330,1,39,0.154280053,0.351985086
peptidyl-serine modification,Gene Ontology,GO:0018209,2,165,0.154925837,0.352767409
regulation of lymphocyte activation,Gene Ontology,GO:0051249,3,321,0.155265733,0.352767409
protein complex binding,Gene Ontology,GO:0032403,5,670,0.155298756,0.352767409
response to organic substance,Gene Ontology,GO:0010033,13,2239,0.155809326,0.353097303
ventricular cardiac muscle tissue morphogenesis,Gene Ontology,GO:0055010,1,40,0.157815556,0.354529517
response to activity,Gene Ontology,GO:0014823,1,40,0.157815556,0.354529517
eye photoreceptor cell differentiation,Gene Ontology,GO:0001754,1,40,0.157815556,0.354529517
regulation of interleukin-1 production,Gene Ontology,GO:0032652,1,40,0.157815556,0.354529517
platelet-derived growth factor receptor signaling pathway,Gene Ontology,GO:0048008,1,40,0.157815556,0.354529517
regulation of response to nutrient levels,Gene Ontology,GO:0032107,1,40,0.157815556,0.354529517
hindlimb morphogenesis,Gene Ontology,GO:0035137,1,40,0.157815556,0.354529517
regulation of response to extracellular stimulus,Gene Ontology,GO:0032104,1,40,0.157815556,0.354529517
pathway-restricted SMAD protein phosphorylation,Gene Ontology,GO:0060389,1,40,0.157815556,0.354529517
calmodulin binding,Gene Ontology,GO:0005516,2,167,0.157840344,0.354529517
regulation of leukocyte proliferation,Gene Ontology,GO:0070663,2,168,0.159301446,0.357196541
response to mechanical stimulus,Gene Ontology,GO:0009612,2,168,0.159301446,0.357196541
muscle structure development,Gene Ontology,GO:0061061,4,498,0.160697697,0.358983543
response to amine,Gene Ontology,GO:0014075,1,41,0.161336282,0.358983543
developmental programmed cell death,Gene Ontology,GO:0010623,1,41,0.161336282,0.358983543
regulation of DNA-templated transcription in response to stress,Gene Ontology,GO:0043620,1,41,0.161336282,0.358983543
collagen fibril organization,Gene Ontology,GO:0030199,1,41,0.161336282,0.358983543
lung epithelium development,Gene Ontology,GO:0060428,1,41,0.161336282,0.358983543
cleavage furrow,Gene Ontology,GO:0032154,1,41,0.161336282,0.358983543
positive regulation of epithelial cell differentiation,Gene Ontology,GO:0030858,1,41,0.161336282,0.358983543
leukocyte cell-cell adhesion,Gene Ontology,GO:0007159,1,41,0.161336282,0.358983543
lung development,Gene Ontology,GO:0030324,2,170,0.16223111,0.360360167
interleukin-1 beta production,Gene Ontology,GO:0032611,1,42,0.164842291,0.363684176
regulation of mesenchymal cell proliferation,Gene Ontology,GO:0010464,1,42,0.164842291,0.363684176
cellular aldehyde metabolic process,Gene Ontology,GO:0006081,1,42,0.164842291,0.363684176
nephron tubule development,Gene Ontology,GO:0072080,1,42,0.164842291,0.363684176
cell adhesion mediated by integrin,Gene Ontology,GO:0033627,1,42,0.164842291,0.363684176
RNA polymerase II core promoter proximal region sequence-specific DNA binding,Gene Ontology,GO:0000978,1,42,0.164842291,0.363684176
intracellular estrogen receptor signaling pathway,Gene Ontology,GO:0030520,1,42,0.164842291,0.363684176
termination of signal transduction,Gene Ontology,GO:0023021,1,42,0.164842291,0.363684176
respiratory tube development,Gene Ontology,GO:0030323,2,173,0.166643568,0.367037733
regulation of kinase activity,Gene Ontology,GO:0043549,5,689,0.168000471,0.368273945
megakaryocyte differentiation,Gene Ontology,GO:0030219,1,43,0.168333646,0.368273945
hormone-mediated signaling pathway,Gene Ontology,GO:0009755,1,43,0.168333646,0.368273945
intramolecular oxidoreductase activity,Gene Ontology,GO:0016860,1,43,0.168333646,0.368273945
renal tubule development,Gene Ontology,GO:0061326,1,43,0.168333646,0.368273945
regulation of defense response,Gene Ontology,GO:0031347,4,508,0.168674717,0.368711064
regulation of response to stress,Gene Ontology,GO:0080134,6,878,0.168819348,0.368718409
regulation of neuron apoptotic process,Gene Ontology,GO:0043523,2,175,0.169596652,0.369797212
positive regulation of macromolecule biosynthetic process,Gene Ontology,GO:0010557,8,1268,0.17002869,0.370429784
regulation of neurotransmitter transport,Gene Ontology,GO:0051588,1,44,0.171810407,0.372446149
cell division site part,Gene Ontology,GO:0032155,1,44,0.171810407,0.372446149
cell division site,Gene Ontology,GO:0032153,1,44,0.171810407,0.372446149
cellular response to amino acid stimulus,Gene Ontology,GO:0071230,1,44,0.171810407,0.372446149
ventricular cardiac muscle tissue development,Gene Ontology,GO:0003229,1,44,0.171810407,0.372446149
positive regulation of T cell activation,Gene Ontology,GO:0050870,2,177,0.172558475,0.373290423
T cell differentiation,Gene Ontology,GO:0030217,2,177,0.172558475,0.373290423
glycosaminoglycan binding,Gene Ontology,GO:0005539,2,178,0.174042554,0.374300929
tissue homeostasis,Gene Ontology,GO:0001894,2,178,0.174042554,0.374300929
positive regulation of nucleobase-containing compound metabolic process,Gene Ontology,GO:0045935,8,1278,0.174982441,0.374300929
lung morphogenesis,Gene Ontology,GO:0060425,1,45,0.175272636,0.374300929
positive regulation of alpha-beta T cell activation,Gene Ontology,GO:0046635,1,45,0.175272636,0.374300929
negative regulation of T cell proliferation,Gene Ontology,GO:0042130,1,45,0.175272636,0.374300929
T cell apoptotic process,Gene Ontology,GO:0070231,1,45,0.175272636,0.374300929
lipopolysaccharide-mediated signaling pathway,Gene Ontology,GO:0031663,1,45,0.175272636,0.374300929
ventricular septum development,Gene Ontology,GO:0003281,1,45,0.175272636,0.374300929
telencephalon cell migration,Gene Ontology,GO:0022029,1,45,0.175272636,0.374300929
retinoic acid receptor binding,Gene Ontology,GO:0042974,1,45,0.175272636,0.374300929
metallopeptidase activity,Gene Ontology,GO:0008237,2,179,0.175528686,0.374300929
learning or memory,Gene Ontology,GO:0007611,2,179,0.175528686,0.374300929
neuron projection,Gene Ontology,GO:0043005,5,700,0.175534229,0.374300929
sulfur compound binding,Gene Ontology,GO:1901681,2,180,0.177016829,0.374320635
telencephalon development,Gene Ontology,GO:0021537,2,180,0.177016829,0.374320635
"phosphotransferase activity, alcohol group as acceptor",Gene Ontology,GO:0016773,5,703,0.177610901,0.374320635
negative regulation of locomotion,Gene Ontology,GO:0040013,2,181,0.178506939,0.374320635
cartilage development,Gene Ontology,GO:0051216,2,181,0.178506939,0.374320635
positive regulation of fibroblast proliferation,Gene Ontology,GO:0048146,1,46,0.178720394,0.374320635
stress fiber,Gene Ontology,GO:0001725,1,46,0.178720394,0.374320635
positive regulation of tyrosine phosphorylation of STAT protein,Gene Ontology,GO:0042531,1,46,0.178720394,0.374320635
centrosome cycle,Gene Ontology,GO:0007098,1,46,0.178720394,0.374320635
cardiac muscle cell development,Gene Ontology,GO:0055013,1,46,0.178720394,0.374320635
ligand-dependent nuclear receptor transcription coactivator activity,Gene Ontology,GO:0030374,1,46,0.178720394,0.374320635
intracellular signal transduction,Gene Ontology,GO:0035556,12,2103,0.181331311,0.376124416
lymphocyte activation,Gene Ontology,GO:0046649,4,524,0.181717636,0.376124416
interleukin-1 production,Gene Ontology,GO:0032612,1,47,0.18215374,0.376124416
labyrinthine layer development,Gene Ontology,GO:0060711,1,47,0.18215374,0.376124416
cardiac septum morphogenesis,Gene Ontology,GO:0060411,1,47,0.18215374,0.376124416
regulation of cytokinesis,Gene Ontology,GO:0032465,1,47,0.18215374,0.376124416
cell-cell adherens junction,Gene Ontology,GO:0005913,1,47,0.18215374,0.376124416
histone deacetylation,Gene Ontology,GO:0016575,1,47,0.18215374,0.376124416
lymphocyte migration,Gene Ontology,GO:0072676,1,47,0.18215374,0.376124416
serine/threonine protein kinase complex,Gene Ontology,GO:1902554,1,47,0.18215374,0.376124416
embryonic morphogenesis,Gene Ontology,GO:0048598,4,525,0.182543712,0.376631691
regulation of cysteine-type endopeptidase activity involved in apoptotic process,Gene Ontology,GO:0043281,2,184,0.182988652,0.377215607
regulation of transferase activity,Gene Ontology,GO:0051338,5,712,0.183895844,0.377215607
extracellular matrix part,Gene Ontology,GO:0044420,2,185,0.184486211,0.377215607
regulation of cell morphogenesis,Gene Ontology,GO:0022604,3,350,0.184781993,0.377215607
regulation of lymphocyte apoptotic process,Gene Ontology,GO:0070228,1,48,0.185572735,0.377215607
neuromuscular junction,Gene Ontology,GO:0031594,1,48,0.185572735,0.377215607
forebrain cell migration,Gene Ontology,GO:0021885,1,48,0.185572735,0.377215607
substrate adhesion-dependent cell spreading,Gene Ontology,GO:0034446,1,48,0.185572735,0.377215607
regulation of stress fiber assembly,Gene Ontology,GO:0051492,1,48,0.185572735,0.377215607
cardiac cell development,Gene Ontology,GO:0055006,1,48,0.185572735,0.377215607
platelet alpha granule lumen,Gene Ontology,GO:0031093,1,48,0.185572735,0.377215607
regulation of intracellular steroid hormone receptor signaling pathway,Gene Ontology,GO:0033143,1,48,0.185572735,0.377215607
actin filament bundle,Gene Ontology,GO:0032432,1,48,0.185572735,0.377215607
hemostasis,Gene Ontology,GO:0007599,4,529,0.185860341,0.377466742
cell-cell junction organization,Gene Ontology,GO:0045216,2,186,0.185985529,0.377466742
cell proliferation,Gene Ontology,GO:0008283,10,1705,0.186569653,0.378358037
regulation of sequence-specific DNA binding transcription factor activity,Gene Ontology,GO:0051090,3,352,0.186869955,0.378672813
cell surface,Gene Ontology,GO:0009986,4,532,0.188360553,0.379993157
positive regulation of nitrogen compound metabolic process,Gene Ontology,GO:0051173,8,1305,0.188670176,0.379993157
forebrain development,Gene Ontology,GO:0030900,3,354,0.18896403,0.379993157
'de novo' posttranslational protein folding,Gene Ontology,GO:0051084,1,49,0.18897744,0.379993157
icosanoid biosynthetic process,Gene Ontology,GO:0046456,1,49,0.18897744,0.379993157
regulation of kidney development,Gene Ontology,GO:0090183,1,49,0.18897744,0.379993157
